input,output,input_ids,labels
[TGT] close lower on weak commodities,negative,32100 885 1364 30 5676 27592 1,2841 1
[TGT] reports Rs 961-crore net loss in December quarter,neutral,32100 2279 11715 668 4241 18 2771 60 3134 1453 16 1882 2893 1,7163 1
[TGT] weakens at market opening,negative,32100 5676 35 7 44 512 2101 1,2841 1
Media form [TGT]'s Q4 net profit falls about 16% to Rs 64 crore,negative,3159 607 32100 3 31 7 1593 591 3134 3199 7250 81 209 6370 12 11715 6687 23095 1,2841 1
[TGT] names Darren Yeates  as CEO,neutral,32100 3056 3 29367 7271 6203 38 4071 1,7163 1
I[TGT] to raise Rs 200 crore through non-convertible debentures,neutral,27 32100 12 3033 11715 2382 23095 190 529 18 1018 3027 2317 3 26 5283 10471 1,7163 1
[TGT] hits 52-week high as drug maker gets licence to manufacture TB medicine,positive,32100 8046 9065 18 8041 306 38 2672 13762 2347 11629 12 9421 3 9041 4404 1,1465 1
[TGT] trades near 3-week lows versus rebounding dollar,negative,32100 1668 7 1084 5354 8041 731 7 3 8911 20756 53 6816 1,2841 1
"[TGT] poised to gain for 3rd day, won eases",positive,32100 27901 26 12 2485 21 220 52 26 239 6 751 4226 7 1,1465 1
[TGT] hires IT expert Manish Prakash to head its enterprise unit,neutral,32100 3804 7 2344 2205 1140 1273 6110 157 3198 12 819 165 5399 1745 1,7163 1
Replanting to help [TGT] raise yield,neutral,419 14925 53 12 199 32100 3033 6339 1,7163 1
[TGT] prices decline on heavy supply of new gur,negative,32100 1596 7198 30 2437 1899 13 126 3 7840 1,2841 1
Pre-market: [TGT] seen opening lower; may retest 6650 levels,negative,1266 18 8809 10 32100 894 2101 1364 117 164 3 60 4377 431 15348 1425 1,2841 1
[TGT] versus minority shareholders: It a precedent in the making,neutral,32100 3 8911 16392 17780 10 94 3 9 17875 16 8 492 1,7163 1
Farmers may shift from [TGT] as prices fall below 10-15% MSP,negative,24493 164 4108 45 32100 38 1596 1590 666 25446 1454 283 4274 1,2841 1
"Blackstone ups stake in [TGT],buys 14.2 lakh shares for Rs 81 cr",neutral,1589 3009 95 7 8474 16 32100 3 6 14584 7 9264 357 27880 4776 21 11715 3 4959 5764 1,7163 1
[TGT] adds net $5.5 billion in up to 1-year forex forwards in July,neutral,32100 617 7 3134 1514 15938 2108 16 95 12 8218 1201 17192 1039 7 16 1718 1,7163 1
"[TGT], Swiss franc rise on Iraq concerns, pound at 5-yr high vs dollar",positive,32100 3 6 11541 3 6296 75 3098 30 7457 3315 6 3 8861 44 7670 63 52 306 3 208 7 6816 1,1465 1
"[TGT] Report: Novermber 03, 2014",neutral,32100 3750 10 5098 49 51 1152 12811 6 1412 1,7163 1
[TGT] slips against US dollar,negative,32100 7560 7 581 837 6816 1,2841 1
[TGT] poised to rally amid prospects of boost in forex reserves,positive,32100 27901 26 12 13980 18905 11136 13 4888 16 17192 11222 1,1465 1
[TGT] Q3 net down 4.55% to Rs 63.97 crore,negative,32100 1593 519 3134 323 3 12451 2712 12 11715 3 3891 5 4327 23095 1,2841 1
"Video: Hot midcap stocks on move: [TGT], Wockhardt",neutral,3953 10 5396 2076 4010 10145 30 888 10 32100 3 6 549 3961 5651 17 1,7163 1
[TGT] to launch trading in currency options on Friday,neutral,32100 12 3289 3415 16 7481 931 30 1701 1,7163 1
"[TGT] hovers near 7-week highs, eyes growth data and election risks",positive,32100 21994 7 1084 489 18 8041 306 7 6 2053 1170 331 11 4356 5217 1,1465 1
[TGT] shares fall; Q2 net dips 45% to Rs 133 cr,negative,32100 4776 1590 117 1593 357 3134 10823 7 3 27516 12 11715 3 22974 5764 1,2841 1
[TGT] Q4 net jumps over 3-fold to Rs 15.75cr,positive,32100 1593 591 3134 4418 7 147 5354 10533 12 11715 9996 3072 75 52 1,1465 1
Watch out for OnMobile: [TGT],neutral,4195 91 21 461 22162 10 32100 1,7163 1
[TGT] better than L&T at the moment: Deepak Mohoni,positive,32100 394 145 301 184 382 44 8 798 10 9509 1639 1290 107 106 23 1,1465 1
Why investors should say no to United Spirits and [TGT],negative,1615 4367 225 497 150 12 907 5876 7 11 32100 1,2841 1
"[TGT], ICICI will continue the good run: Sudip Bandyopadhyay",positive,32100 3 6 3 18316 3597 56 916 8 207 661 10 1923 21981 4483 63 32 5612 107 63 9 63 1,1465 1
"[TGT], Kingfisher gains on 26% FDI in aviation",positive,32100 3 6 2671 6779 49 11391 30 204 6370 3 13916 196 16 18979 1,1465 1
[TGT] December quarter profit after tax drops 34 per cent,negative,32100 1882 2893 3199 227 1104 11784 6154 399 3151 1,2841 1
"OIJIF ups stake in [TGT], buys more shares from Jaypee Capital Services",positive,411 196 683 6058 95 7 8474 16 32100 3 6 805 7 72 4776 45 9373 855 15 5826 1799 1,1465 1
"[TGT] stumble on banks, resources, UGL drops",negative,32100 29630 30 5028 6 1438 6 412 13011 11784 1,2841 1
"Q3 earnings: Idea Cellular, ONGC, [TGT], Biocon, L&T, Dr Reddy's",neutral,1593 519 8783 10 22834 7845 4885 6 3 15628 254 6 32100 3 6 3318 1018 6 301 184 382 6 707 419 8155 31 7 1,7163 1
"AAP may decimate Congress, no big moves seen on [TGT]: Credit Suisse",negative,71 2965 164 7908 5058 4442 6 150 600 6914 894 30 32100 3 10 6529 20775 1,2841 1
[TGT] managing director & CEO Vaish quits on health grounds,neutral,32100 5037 2090 3 184 4071 2964 1273 10399 7 30 533 9808 1,7163 1
Northern Trust sells [TGT] shares worth Rs 84 crore,negative,5961 5313 1789 7 32100 4776 1494 11715 3 4608 23095 1,2841 1
"[TGT] gets shareholders nod to raise up to Rs 42,000 crore",positive,32100 2347 17780 150 26 12 3033 95 12 11715 314 8630 23095 1,1465 1
[TGT] gains on increase buying,positive,32100 11391 30 993 2611 1,1465 1
"[TGT] revokes restrictions against Foseco India, directors",neutral,32100 3 52 17943 7 9076 581 4452 7549 32 1547 6 10392 1,7163 1
"JSPL, [TGT] & NIIT Tech; three stocks that stole the show",positive,3 23787 5329 6 32100 3 184 3 6197 3177 7130 117 386 10145 24 26357 8 504 1,1465 1
Cool-off period likely to continue for [TGT]; top 4 events to watch,neutral,7823 18 1647 1059 952 12 916 21 32100 3 117 420 314 984 12 1605 1,7163 1
[TGT] Q1 net drops 7 per cent,negative,32100 1593 536 3134 11784 489 399 3151 1,2841 1
"Prefer Rolta, [TGT] among midcap IT stocks: Prakash Diwan",positive,1266 1010 2158 40 17 9 6 32100 859 2076 4010 2344 10145 10 6110 157 3198 2043 3877 1,1465 1
[TGT] Q4 net income up 7.5% at $33.1 million,positive,32100 1593 591 3134 2055 95 4306 2712 44 5583 18495 770 1,1465 1
[TGT] futures soften 0.31% on weak demand,negative,32100 647 7 1835 35 3 19997 4704 30 5676 2173 1,2841 1
