sentence,sentiment
[TGT] to issue 6.4 crore warrants to promoters,neutral
[TGT] Q2 net loss at Rs 10.4 crore,neutral
"[TGT] can deliver more, stay put: Experts",positive
[TGT] now turn into market darlings,positive
"[TGT] seeing patience, if not conviction: Prakash Diwan",neutral
[TGT]: Will the strong volume growth sustain?,neutral
[TGT] raises Rs 279 cr via tax-free bonds,positive
[TGT] could retest 30-35 levels: Ashwani Gujral,neutral
[TGT] shines on seasonal demand; Silver dull,positive
Gold shines on seasonal demand; [TGT] dull,negative
[TGT] appoints Edward J Fitzpatrick as CFO,neutral
"[TGT] beats profit estimates, cuts sales outlook",positive
Wait and watch on [TGT]: Vinay Khattar,neutral
"Would stick to [TGT]: Girish Pai, Centrum Broking",positive
"Would stick to banking: Girish Pai, [TGT]",neutral
MSCI adds [TGT] to India index,positive
[TGT] adds Aurobindo Pharma to India index,neutral
MSCI adds Aurobindo Pharma to [TGT],neutral
[TGT] raises Rs 667 crore through QIP,positive
"At [TGT], growth remains a mirage",negative
Why Chinese stocks leave [TGT] investors vulnerable,negative
Why [TGT] leave US investors vulnerable,neutral
US stocks finish mixed amid more [TGT] selling,negative
[TGT] finish mixed amid more tech selling,neutral
Opec reduces estimate on [TGT] demand growth,negative
[TGT] reduces estimate on oil demand growth,neutral
[TGT] prices mixed ahead of US supply report,neutral
[TGT] expands share sale plan,neutral
[TGT] closes quiet on some support,neutral
[TGT] closes steady on low demand,neutral
[TGT] closes steady on thin trade,neutral
[TGT] remains flat in tight movements,neutral
Popularising [TGT] among retail investors,neutral
[TGT] trades nearly flat on dull demand,neutral
[TGT] announces closure of share buyback programme,neutral
[TGT] Q2 net at Rs 216.3 cr,neutral
China to start [TGT] trading on Tuesday,neutral
BSE inks strategic partnership with [TGT],neutral
[TGT] inks strategic partnership with YES Bank,neutral
[TGT] launches Sovereign Gold Bond,neutral
"[TGT] firms in Asia on Iraq, Ukraine jitters",neutral
Billionaire's stake shakes [TGT]'s buyout of David Jones,neutral
Billionaire's stake shakes Woolworth's buyout of [TGT],neutral
[TGT] IPO subscribed 42% on Day 1,neutral
[TGT] IPO subscribed 98% on second day,neutral
[TGT] appoints Ronald Gillette as Chief Operating Officer,neutral
Strong deals crucial for [TGT]'s growth push,neutral
Ten key takeaways from [TGT] Q1 results,neutral
[TGT] may head to around 450-475: Devang Visaria,neutral
[TGT] CMD D C Garg passes away,neutral
[TGT] IPO grey market premium at 38%,neutral
"IPO after tax row is settled, says [TGT]",neutral
[TGT] gets ready for IPO of Indian arm,neutral
[TGT] appoints Arun Parameswaran as India MD,neutral
[TGT] likely to bring IPO this fiscal,neutral
[TGT] appoints Sanjeev Bakshi as COO,neutral
[TGT] ups marketing efforts with CMO appointment,neutral
[TGT] appoints Christopher Formant to head enterprise business,neutral
"Amidst commodity boom, [TGT] remains plain vanilla",neutral
[TGT] goes live,neutral
[TGT] appoints Anand Kripalu as CEO,neutral
Promoters raise stake to 46.72 pc in [TGT],neutral
[TGT] appoints Grameenphone CTO as new India COO,neutral
[TGT] Q2 profit at Rs 12.83 crore,neutral
[TGT] flat by the break,neutral
Adi Rajaram appointed [TGT] chairman,neutral
4200 is key level for [TGT]: Ashwani Gujral,neutral
Kapil Kapoor is global COO of [TGT],neutral
[TGT] can open-up for Rs 900-1200: Ventura,neutral
[TGT] files draft IPO papers,neutral
[TGT] announces 1:1 maiden bonus,neutral
Neutral on [TGT]: Ramanathan K,neutral
[TGT] fix IPO rate at Rs 230-240,neutral
[TGT] names Gopichand Katragadda chief technology officer,neutral
[TGT] appoints Gajendra Chandel as CHRO,neutral
Kalyanasundaram resigns as Independent Director of [TGT],neutral
[TGT] can retest 133-140 levels: Ashwani Gujral,neutral
[TGT] board approves cashless restructuring of FCCBs,neutral
[TGT]: Building a solid foundation,neutral
Harsha Viji is deputy MD of [TGT],neutral
[TGT] closes steady on sporadic buying,neutral
[TGT] ends steady in thin trade,neutral
[TGT] settles steady on little doing,neutral
[TGT] ends quiet amid sufficient stock positions,neutral
India produces 14.3 million tonne [TGT] till mid-February,neutral
[TGT] steadies after Scottish referendum debate wobble,neutral
UK data gives battered [TGT] some respite,neutral
Red-hot [TGT] cools a touch after PMI numbers,neutral
[TGT] prices end steady in thin trade,neutral
Tight movement in [TGT] prices in thin trade,neutral
[TGT] hold steady in mute trade,neutral
[TGT] makes top-level changes,neutral
[TGT] seeks shareholders' nod to hike promoters holding,neutral
Several [TGT] trading at eye-popping valuations,neutral
[TGT] on way to market,neutral
[TGT] elevates Salil Nair to CEO,neutral
Neutral on [TGT]: Seshadri Bharathan,neutral
How will [TGT] deal impact global energy market,neutral
How will Shell-BG deal impact global [TGT],neutral
[TGT]'s India office to woo fund raising corporations,neutral
Prasun Kumar Mukherjee quits [TGT],neutral
Which [TGT] should you bet on?,neutral
[TGT] rangebound; top 20 intraday trading ideas,neutral
[TGT] director with big stock holdings stirs debate,neutral
[TGT] partially lifts curbs on Shantivijay Jewels,neutral
Sebi partially lifts curbs on [TGT],neutral
[TGT] seeks clarification on RINL IPO,neutral
Sebi seeks clarification on [TGT] IPO,neutral
"[TGT] attaches accounts of former Ranbaxy director, wife",neutral
"Sebi attaches accounts of former [TGT] director, wife",neutral
Maruti-Suzuki deal: Institutional investors approach [TGT],neutral
[TGT] deal: Institutional investors approach Sebi,neutral
[TGT] notifies new ESOP regulations,neutral
[TGT] revamps securitisation trustee norms,neutral
Centralised online system for investor grievances:[TGT],neutral
[TGT] cautions against illicit high-return schemes,neutral
[TGT] proposes restrictions on 'wilful defaulters',neutral
"New listing, de-listing regulations next month: [TGT]",neutral
[TGT] announces new set of ESOP regulations,neutral
[TGT] considers proposal on cross-currency futures pairs,neutral
[TGT] plans new norms for municipal bonds,neutral
"[TGT] revamps committee on disclosures, accounting standards",neutral
[TGT]s reading of control issue confounds experts,neutral
20 companies approach [TGT] with public offer proposals,neutral
Cabinet to consider proposal for [TGT] ordinance tomorrow,neutral
"Insider trading on [TGT] Chief, UK Sinha's radar",neutral
Minimum shareholding norm not for non-controlling entity: [TGT],neutral
President Pranab Mukherjee clears re-promulgation of [TGT] ordinance,neutral
[TGT] asks mutual funds to adopt high-deposit districts,neutral
[TGT] calls for systemic safeguards in Algo trades,neutral
[TGT] directs banks to defreeze accounts of Somanis,neutral
[TGT] grants new status to three clearing corporations,neutral
[TGT] initiates proceeding against entities in ponzi schemes,neutral
[TGT] may seek relief for commodity exchange warehouses,neutral
[TGT] mulls prudential governance norms for stock brokers,neutral
[TGT] orders defreezing of accounts of five entities,neutral
[TGT] plans annual information memorandum for listed companies,neutral
[TGT] proposes stricter rules for securitisation deal trustees,neutral
[TGT] to conitnue with more than 300 proceedings,neutral
[TGT] to study surveillance systems in overseas markets,neutral
"[TGT], exchanges to tighten grip on speculative stocks",neutral
[TGT]'s public offer norms bat for retail investors,neutral
[TGT]'s toll-free service for investors open whole week,neutral
Single Demat A/c for all financial investments: [TGT],neutral
[TGT] ex-chairman S Hajara joins Doehle Danautic India,neutral
SCI ex-chairman S Hajara joins [TGT],neutral
2270-2350 is the range for [TGT]: Sandeep Wagle,neutral
Cover up all positions for [TGT]: Mitesh Thacker,neutral
"[TGT] opens, may affect global fund flows",neutral
[TGT] IPO opens tomorrow,neutral
[TGT] IPO seen spurring Samsung Group restructure,neutral
[TGT] enterprise business head quits,neutral
[TGT] appoints Ramesh Tainwala as global COO,neutral
Soiles Bhattacharya takes interim charge of [TGT],neutral
"[TGT] sets rs. 7,000-crore FPO process in motion",neutral
Expert's take: [TGT]-dollar pair to test 45.30-45.50 levels,neutral
Expert's take: Rupee-[TGT] pair to test 45.30-45.50 levels,neutral
Budget 2014 mustn't sell [TGT] short,neutral
Cabinet decides on [TGT] sign today,neutral
[TGT] little changed in intraday trade,neutral
[TGT] ends little changed; fund flows in focus,neutral
[TGT] swings hand arbitrage advantage to day traders,neutral
"Output not stretched, says [TGT]",neutral
[TGT] to begin new CSR initiatives,neutral
Ravi Venkatesan joins [TGT],neutral
AGM can open new chapter for [TGT] shareholders,neutral
Should you opt for [TGT]?,neutral
Rs 15.26 crore dividend cheque from [TGT],neutral
Wilmar deal: Not much for [TGT] investors,neutral
[TGT] deal: Not much for Renuka investors,neutral
[TGT] launches virtual stock trading platform,neutral
Sandip Bansal joins [TGT],neutral
[TGT]'s top four picks for 2014,neutral
[TGT] announces 10-year US dollar bond,neutral
[TGT] looks to expand in India,neutral
[TGT] names Nitish Kapoor as India MD,neutral
"Which is better, [TGT] or stocks?",neutral
"Which is better, real estate or [TGT]?",neutral
"[TGT], bourses weigh dollar delivery in futures trade",neutral
"RBI, [TGT] weigh dollar delivery in futures trade",neutral
[TGT] Deputy Governor Anand Sinha retires,neutral
Cash rates stabilise after [TGT]'s MSF auction,neutral
[TGT] moves to curb novel bond structure,neutral
What to expect from [TGT] policy tomorrow,neutral
[TGT] bets on 'shut period' to improve liquidity,neutral
[TGT] tightens provisioning norms for unhedged forex exposure,neutral
[TGT] bull market fades as supply expands,neutral
[TGT] for short term: Deepak Mohoni,neutral
Upside capped at 90 for [TGT]: Siddth Capital,neutral
[TGT] to launch branded pomegranates,neutral
Stay with [TGT]: Deven Choksey,neutral
[TGT] gives 70% dividend to non-promoters,neutral
[TGT] remain steady in thin trade,neutral
[TGT] remain flat in thin trade,neutral
[TGT] remain steady in thin trade,neutral
[TGT] prices end steady in tight movements,neutral
Prices of [TGT] remain steady in thin trade,neutral
[TGT] appoints Deepak Amitabh as CMD,neutral
"Finally, [TGT] launched; subscription from next week",neutral
[TGT] match equity returns in fourth quarter,neutral
PSU bonds match [TGT] returns in fourth quarter,neutral
[TGT] appoints PVK Mohan as Head-Equity,neutral
[TGT] to conduct special audit of MCX,neutral
PricewaterhouseCoopers to conduct special audit of [TGT],neutral
"Neutral on [TGT]: Pankaj Pandey, ICICI Direct",neutral
Overseas funds plug into [TGT],neutral
Participate in [TGT] through other sectors: Vijai Mantri,neutral
[TGT]: Asset quality improves but payout cut disturbing,neutral
Long-term investors may go for [TGT]s IPO,neutral
Sameer Garde appointed [TGT] South Asia President,neutral
Things that influence [TGT] growth story,neutral
Seven rules for investing in [TGT],neutral
[TGT] acquires MeshLabs Software,neutral
Pegasystems Inc acquires [TGT],neutral
[TGT] IPO opens on June 14,neutral
[TGT] appoints Sanjay Bhambri as Regional VP,neutral
Sudhir Vasudeva to head [TGT],neutral
Britain FTSE regains traction as [TGT] steadies,neutral
Britain [TGT] regains traction as oil steadies,neutral
Experts' call on [TGT],neutral
[TGT] ends steady in thin trade,neutral
[TGT] prices mixed in Asian trade,neutral
[TGT] takes breather in Asian trade,neutral
[TGT] prices turn mixed in Asian trade,neutral
Put [TGT] concentration at 6000 shows support,neutral
[TGT] may go for FPO post-capital infusion,neutral
[TGT] files for FPO,neutral
[TGT] appoints five new independent directors,neutral
[TGT] sees senior level changes,neutral
[TGT] operationalises SME platform with first listing,neutral
"Options suggest range of 8,000-8,300 for [TGT]",neutral
[TGT] directs brokers to implement risk reduction mode,neutral
[TGT] to begin overnight investment facility from Monday,neutral
"[TGT] sees Sensex at 33,500 by year-end",neutral
"Nomura sees [TGT] at 33,500 by year-end",neutral
